control,metric,value,unit,cycle_id,cycle_date,source
5.15,access_via_group_pct,100.0,percent,2026-Q1,2026-03-31,totvs-protheus-cfg
5.15,direct_access_pct,0.0,percent,2026-Q1,2026-03-31,totvs-protheus-cfg
8.2,privileged_accounts,2,count,2026-Q1,2026-03-31,totvs-protheus-cfg
8.2,inactive_accounts_pct,26.67,percent,2026-Q1,2026-03-31,totvs-protheus-cfg
8.3,groups_without_owner,4,count,2026-Q1,2026-03-31,totvs-protheus-cfg
5.3,conflicts_total,7,count,2026-Q1,2026-03-31,totvs-protheus-cfg
5.3,conflicts_critical,5,count,2026-Q1,2026-03-31,totvs-protheus-cfg
5.3,conflicts_medium,2,count,2026-Q1,2026-03-31,totvs-protheus-cfg
5.3,conflicts_low,0,count,2026-Q1,2026-03-31,totvs-protheus-cfg
5.3,untreated_pct,100.0,percent,2026-Q1,2026-03-31,totvs-protheus-cfg
